Nr.;GTIN;brandName;productName;Energy  [kJ];Energy [kcal];Fat;Fat_isEqual;OfWhichSaturated;OfWhichSaturated_isEqual;Carbohydrate;Carbohydrate_isEqual;OfWhichSugar;OfWhichSugar_isEqual;Protein;Protein_isEqual;Salt;Salt_isEqual;oneHundred_referenceUnit;barcode;detailedProductName;netContent;netContentUnit;packagingMarkedLabelAccreditation;organicClaim;percentageOfAlcoholByVolume;percentageOfAlcoholByVolume_isEqual;packagingRecyclingProcessType;brick_code;brick decription
18;4104420072084;Alnatura;Orangensaft;187;44;0.5;FALSE;0.5;FALSE;10;TRUE;10;TRUE;1;TRUE;0.01;FALSE;ml;4104420072084;Bio Orangensaft pasteurisiert;0.33;l;[221, 225, 240, 209];[14, 53];N/A;TRUE;N/A;10000223;Fruchtsaftgetränke – trinkfertig (ohne Kühlung haltbar)
19;4008452027589;Molkerei Weihenstephan GmbH & co. KG;Haltbare Milch;198;47;1.5;TRUE;1;TRUE;4.9;TRUE;4.9;TRUE;3.5;TRUE;0.13;TRUE;ml;4008452027589;Fettarme H-Milch, 1,5% Fett, ultrahocherhitzt, homogenisiert;1;l;[225, 209];N/A;N/A;TRUE;N/A;10000026;Milch (ohne Kühlung haltbar)
20;29006014;Milsani;Haltbare Vollmilch 3,5% Fett;273;65;3.6;TRUE;2.5;TRUE;4.8;TRUE;4.8;TRUE;3.4;TRUE;0.11;TRUE;ml;29006014;Haltbare Vollmilch 3,5% Fett;1;l;[135, 225];N/A;N/A;TRUE;N/A;10000026;Milch (ohne Kühlung haltbar)
21;4003490037033;Hochwald;Haltbare Vollmilch 3,5% Fett;267;64;3.5;TRUE;2.3;TRUE;4.8;TRUE;4.8;TRUE;3.3;TRUE;0.13;TRUE;ml;4003490037033;Haltbare Vollmilch 3,5% Fett;0.5;l;[135, 225];N/A;N/A;TRUE;N/A;10000026;Milch (ohne Kühlung haltbar)
22;43115976;Gut & Günstig;Haltbare Schlagsahne, ultrahocherhitzt, 30% Fett;1205;292;30;TRUE;20.7;TRUE;3.2;TRUE;3.2;TRUE;2.4;TRUE;0.08;TRUE;g;43115976;Schlagsahne, ultraocherhitzt, mindestens 30% Fett;200;g;[135];N/A;N/A;TRUE;N/A;10000607;Milch / Butter / Sahne / Käse / Eier / Ersatzprodukte – Mischpackungen
23;4002809022401;RUF;Backfeste Puddingcreme;1607;379;0.1;TRUE;0;TRUE;92.7;TRUE;66.1;TRUE;0;TRUE;0.75;TRUE;g;4002809022401;Cremepulver für eine backstabile Puddingcreme;42;g;N/A;N/A;N/A;TRUE;N/A;10000158;Back– / Kochzutaten (ohne Kühlung haltbar)
24;4000417012005;Alfred Ritter GmbH;Rittersport Rum Trauben Nuss;2179;522;28;TRUE;15;TRUE;56;TRUE;54;TRUE;6.3;TRUE;0.15;TRUE;g;4000417012005;Vollmilchschokolade mit Sultaninen (13%) eingelegt in Rum (2%) und Haselnuss-Stückchen (5,5%);100;g;N/A;N/A;N/A;TRUE;N/A;10000045;Schokolade und Mischungen aus Schokolade und Zuckerwaren – Süßwaren
25;76121043;Ovomaltine;Ovomaltine crunchy;2153;514;25.6;TRUE;14.8;TRUE;62.2;TRUE;59.8;TRUE;7.6;TRUE;0.23;TRUE;g;76121043;N/A;100;g;[220];N/A;N/A;TRUE;N/A;10000045;Schokolade und Mischungen aus Schokolade und Zuckerwaren – Süßwaren
26;4025700001023;Milka;Haselnuss;2267;543;32;TRUE;17;TRUE;54;TRUE;53;TRUE;7.1;TRUE;0.34;TRUE;g;4025700001023;Alpenmilch Schokolde mit Haselnussstückchen;100;g;[232, 239];N/A;N/A;TRUE;N/A;10000045;Schokolade und Mischungen aus Schokolade und Zuckerwaren – Süßwaren
27;3017800251577;d’aucy;Kidneybohnen Dampfgegart;437;104;0.8;TRUE;0.1;TRUE;13;TRUE;0.7;TRUE;7.8;TRUE;0.03;TRUE;g;3017800251577;Rote Kidneybohnen vakuumverpackt;110;g;[230];N/A;N/A;TRUE;N/A;10000272;Gemüse – bearbeitet / verarbeitet (ohne Kühlung haltbar)
28;4002809024351;RUF;Raspel Schokolade;2293;550;33.8;TRUE;20.9;TRUE;53.4;TRUE;51.3;TRUE;7;TRUE;0.2;TRUE;g;4002809024351;Raspelschokolade Vollmilch;100;g;N/A;N/A;N/A;TRUE;N/A;10000045;Schokolade und Mischungen aus Schokolade und Zuckerwaren – Süßwaren
29;4008137002887;Bad Heilbrunner Naturheilmittel GmbH & CO. KG;Basischer Kräutertee;3;1;0;TRUE;0;TRUE;0.2;TRUE;0.1;FALSE;0;TRUE;0;TRUE;ml;4008137002887;Kräutertee mit Brennessel und grünem Hafer;14.4;g;[225];N/A;N/A;TRUE;N/A;10000116;Tee – lose / abgepackt / Aufgussbeutel
30;3083680977531;Bonduelle;Bio Goldmais;334;80;1.9;TRUE;0.5;TRUE;11;TRUE;5.2;TRUE;2.9;TRUE;0.4;TRUE;g;3083680977531;Gemüsemais, schonend dampfgegart;150;g;[230];[14, 53];N/A;TRUE;N/A;10000272;Gemüse – bearbeitet / verarbeitet (ohne Kühlung haltbar)
31;4000539709807;Lindt;Weihnachts-Chocolade Mandel;2469;593;39;TRUE;17;TRUE;49;TRUE;47;TRUE;7.7;TRUE;0.18;TRUE;g;4000539709807;Gefüllte Vollmilchschokolade mit ganzen Mandeln, Nusscreme(33%) und einem Hauch von Zimt und Koriander;100;g;N/A;N/A;N/A;TRUE;N/A;10000045;Schokolade und Mischungen aus Schokolade und Zuckerwaren – Süßwaren
32;4000521166007;Dr. Oetker;Tortenguss Erdbeer klein;1338;315;0.2;TRUE;0;TRUE;72;TRUE;2;TRUE;0.2;TRUE;1;TRUE;g;4000521166007;Tortengusspulver rot mit Erdbeergeschmack;12;g;N/A;N/A;N/A;TRUE;N/A;10000156;Back– / Kochmischungen (ohne Kühlung haltbar)
33;4000521003357;Dr. Oetker;Tortenguss Erdbeer groß;264;62;0;TRUE;0;TRUE;15;TRUE;11;TRUE;0;TRUE;0.03;TRUE;g;4000521003357;Tortengusspulver fix rot gezuckert mit Erdbeergeschmack;50;g;N/A;N/A;N/A;TRUE;N/A;10000156;Back– / Kochmischungen (ohne Kühlung haltbar)
34;4313920015884;Schwarzwaldmilch GmbH Freiburg;Frische Weidemilch 3,5% Fett;275;66;3.6;TRUE;2.3;TRUE;4.8;TRUE;4.8;TRUE;3.4;TRUE;0.12;TRUE;ml;4313920015884;Frische Vollmilch;1;l;[225, 135, 178, 193];N/A;N/A;TRUE;N/A;10000025;Milch (leicht verderblich)
35;4311501650103;Edeka Zentrale;Bio Sesam ungeschält;2414;584;50;TRUE;7.6;TRUE;10;TRUE;0.2;TRUE;18;TRUE;0.11;TRUE;g;4311501650103;Sesamsamen;250;g;N/A;[14, 53];N/A;TRUE;N/A;10000008;Nüsse / Samen – nicht bearbeitet / verarbeitet (ohne Kühlung haltbar)
36;4101530002031;Milchwerke Berchtesgardener Land;Joghurt Drink Fettarm;298;71;1.5;TRUE;1;TRUE;10.9;TRUE;10.5;TRUE;2.6;TRUE;0.15;TRUE;g;4101530002031;Milchmischerzeugnis mit Himbeere-Zitone 1,8% Fett im Milchanteil;400;g;[30, 225, 209];N/A;N/A;TRUE;N/A;10000278;Joghurt (leicht verderblich)
37;4000521607500;Dr. Oetker;Dessert Soße Vanielle Geschmack;400;95;1.6;TRUE;1;TRUE;17;TRUE;13;TRUE;2.9;TRUE;0.16;TRUE;g;4000521607500;Soßenpulver Vanille Geschmack für 250 ml Milch oder für 200 ml Milch und 100 g Schlagsahne;39;g;N/A;N/A;N/A;TRUE;N/A;10000156;Back– / Kochmischungen (ohne Kühlung haltbar)
38;7613035154315;Maggi;Chamgignon Cremesuppe;177;42;1.5;TRUE;0.4;TRUE;6.1;TRUE;1.5;TRUE;0.9;TRUE;0.82;TRUE;ml;7613035154315;N/A;N/A;N/A;[58];N/A;N/A;TRUE;N/A;10000262;Fertigsuppen (ohne Kühlung haltbar)
39;7613036041423;Maggi;Frühlingssuppe;84;20;0.1;TRUE;0.1;TRUE;3.9;TRUE;0.6;TRUE;0.7;TRUE;0.82;TRUE;ml;7613036041423;Frühlingssuppe mit Nudeln und Gemüseeinlage;N/A;N/A;[58, 230];N/A;N/A;TRUE;N/A;10000262;Fertigsuppen (ohne Kühlung haltbar)
40;40056050;Nestle;Thomy Mittelscharfer Delikatess Senf;495;119;7.3;TRUE;1.5;TRUE;3.8;TRUE;1.9;TRUE;6.7;TRUE;3.9;TRUE;ml;40056050;Delikatess Senf;200;ml;N/A;N/A;N/A;TRUE;N/A;10006322;Senf (ohne Kühlung haltbar)
41;4018077779930;Lorenz;Saltletts Pausen Cracker;1928;461;21;TRUE;2.4;TRUE;49;TRUE;6.9;TRUE;14;TRUE;2.7;TRUE;g;4018077779930;Laugengebäck mit Sesamsamen, Chiasamen und Leinsamen;100;g;[230];N/A;N/A;TRUE;N/A;10000177;Chips / Knabberartikel / Knabbermischungen – natürlich / extrudiert (ohne Kühlung haltbar)
42;4001686301265;Haribo;Haribo Goldbären;1459;343;0.5;FALSE;0.1;TRUE;77;TRUE;46;TRUE;6.9;TRUE;0.07;TRUE;g;4001686301265;Fruchtgummi;200;g;N/A;N/A;N/A;TRUE;N/A;10000047;Bonbons / Zuckerwaren auf Basis Zuckerersatz
43;4005500081227;Nestle;Milchmädchen Gezuckerte Kondensmilch;1356;321;8;TRUE;4.6;TRUE;54.9;TRUE;54.9;TRUE;7.5;TRUE;0.2;TRUE;g;4005500081227;Gezuckerte Kondensmilch wärmebehandelt;170;g;N/A;N/A;N/A;TRUE;N/A;10000026;Milch (ohne Kühlung haltbar)
44;4104420024748;Alnatura;Alnatura Rosinen;1385;327;1.3;TRUE;0.4;TRUE;73;TRUE;68;TRUE;2.7;TRUE;0.01;FALSE;g;4104420024748;Bio Rosinen, geölt;200;g;[240, 221];[14, 53];N/A;TRUE;N/A;10000003;Obst – nicht bearbeitet / verarbeitet (ohne Kühlung haltbar)
45;8715700017006;H.J. Heinz GmbH;Heinz Tomato Ketchup;435;102;0.1;TRUE;0.1;FALSE;23.2;TRUE;22.2;TRUE;1.2;TRUE;1.8;TRUE;g;8715700017006;Tomato Ketchup;570;g;N/A;N/A;N/A;TRUE;N/A;10000280;Dipsaucen / Würzsaucen / Feinkostsaucen / Aufstriche / Marinaden (ohne Kühlung haltbar)
46;4017100100819;Bahlsen;Leibniz Minis Choco;2009;479;19;TRUE;11;TRUE;68;TRUE;31;TRUE;7.7;TRUE;0.65;TRUE;g;4017100100819;Knuspriger Keks mit Vollmilchschokolade (31%);150;g;[220];N/A;N/A;TRUE;N/A;10000161;Kekse / Gebäck (ohne Kühlung haltbar)
47;4000417934000;Alfred Ritter GmbH;Ritter Sport Haferkeks + Joghurt;2290;549;34;TRUE;19;TRUE;52;TRUE;45;TRUE;7.9;TRUE;0.3;TRUE;g;4000417934000;Vollmilchschokolade gefüllt mit 31% Weizenkeim-Magermilchjoghurtfüllung und einem Haferkeks(14%);100;g;N/A;N/A;N/A;TRUE;N/A;10000045;Schokolade und Mischungen aus Schokolade und Zuckerwaren – Süßwaren
48;4006824018135;Develey Senf & Feinkost GmbH;Honig-Senf Dressing;382;91;3.2;TRUE;0.3;TRUE;13.2;TRUE;12.5;TRUE;1;TRUE;2;TRUE;ml;4006824018135;Salatdressing Honig-Senf;75;ml;N/A;N/A;N/A;TRUE;N/A;10000200;Salatsaucen / Dips (ohne Kühlung haltbar)
49;4012200417300;Carl Kühne KG;Schlemmertöpfchen Scharfe Gürkchen;240;57;0.2;TRUE;0.1;FALSE;11;TRUE;10;TRUE;1.4;TRUE;1.7;TRUE;g;4012200417300;Cornichons aus Vertragsanbau;530;g;N/A;N/A;N/A;TRUE;N/A;10006449;Gewürzgurken
50;4311501621721;Gut & Günstig;Klare Fleischbrühe;16;4;0.2;TRUE;0.1;TRUE;0.5;TRUE;0.2;TRUE;0.1;FALSE;1.2;TRUE;ml;4311501621721;Klare Fleischbrühe;120;g;[39];N/A;N/A;TRUE;N/A;10000578;Fond / Knochen – (ohne Kühlung haltbar)
51;4011932236012;"Dallmanns Pharma Candy GmbH""";"Dallmanns Ingwer-Salbei Bonbons""";996;239;0;TRUE;0;TRUE;97;TRUE;0.5;FALSE;0.5;FALSE;0.01;FALSE;g;4011932236012;Zuckerfries Hals- und Hustenbonbon mit Ingwer- und Salbeiextrakt und Süßungsmittel;37;g;[225];N/A;N/A;TRUE;N/A;10000047;Bonbons / Zuckerwaren auf Basis Zuckerersatz
52;4017100370007;Bahlsen;Das Original;1833;435;12;TRUE;7.8;TRUE;72;TRUE;21;TRUE;8.4;TRUE;1.5;TRUE;g;4017100370007;Butter Keks;200;g;N/A;N/A;N/A;TRUE;N/A;10000161;Kekse / Gebäck (ohne Kühlung haltbar)
53;4061458000888;Westcliff;Kräutertee Fenchel-Anis-Kümmel;3;1;0;TRUE;0;TRUE;0.2;TRUE;0.1;FALSE;0;TRUE;0;TRUE;ml;4061458000888;Kräutertee;50;g;[220, 225];N/A;N/A;TRUE;N/A;10000116;Tee – lose / abgepackt / Aufgussbeutel
54;4061458061506;Knusperone;Kernige Haferflocken;1580;378;7;TRUE;1.3;TRUE;59;TRUE;0.7;TRUE;14;TRUE;0.02;TRUE;g;4061458061506;Kernige Haferflocken;500;g;[39];N/A;N/A;TRUE;N/A;10000285;Cerealien – nicht verzehrbereit (ohne Kühlung haltbar)
55;4061458006897;King’s Crown;Hojiblanca;552;134;14;TRUE;2.2;TRUE;0;TRUE;0;TRUE;0.5;TRUE;2.5;TRUE;g;4061458006897;Geschwärzte Oliven, entsteint;160;g;N/A;N/A;N/A;TRUE;N/A;10000040;Speiseöle – pflanzlich (ohne Kühlung haltbar)
56;4008400935225;Ferrero;Kinder Bueno;2384;572;37.3;TRUE;17.3;TRUE;49.5;TRUE;41.2;TRUE;8.6;TRUE;373;TRUE;g;4008400935225;Waffel mit feiner Milchhaselnusscreme-füllung;43;g;N/A;N/A;N/A;TRUE;N/A;10000045;Schokolade und Mischungen aus Schokolade und Zuckerwaren – Süßwaren
57;4061458079525;Almare Seafood;Thunfisch;357;84;1.6;TRUE;0.2;TRUE;5.4;TRUE;4.2;TRUE;12;TRUE;0.85;TRUE;g;4061458079525;Thunfisch Stücke in pikanter Dressing-Sauce mit Gemüsebeilage;185;g;[198, 228];N/A;N/A;TRUE;N/A;10000016;Fisch – bearbeitet / verarbeitet (leicht verderblich)
58;4061458032452;Milsani;Haltbare Schlagsahne, ultrahocherhitzt, 30% Fett;1205;292;30;TRUE;21;TRUE;3.2;TRUE;3.2;TRUE;2.4;TRUE;0.08;TRUE;g;4061458032452;Schlagsahne, ultrahocherhitzt, mindestens 30% Fett;200;g;[135, 225, 39];N/A;N/A;TRUE;N/A;10000189;Sahne (leicht verderblich)
59;4061458069960;Gut bio;Knusperriegel;2225;535;36;TRUE;5.6;TRUE;26;TRUE;25;TRUE;22;TRUE;0.01;FALSE;g;4061458069960;Kirsch-Mandel-Riegel mit Erdnüssen, Kürbiskernen, Mandeln und Sauerkirschen;75;g;[225];[14, 226];N/A;TRUE;N/A;10000287;Müslis / Müsliriegel
60;4061458044622;Hofburger;Allgäuer Art Schmelzscheiben;961;231;16;TRUE;11;TRUE;6;TRUE;6;TRUE;16;TRUE;3.1;TRUE;g;4061458044622;Schmelzkäse, 35% Fett i. Tr.;250;g;[135];N/A;N/A;TRUE;N/A;10000028;Käse (leicht verderblich)
61;4061458003889;Bon-Ri;Kochbeutel Reis;1495;352;0.9;TRUE;0.5;TRUE;75;TRUE;0;TRUE;7.5;TRUE;0.01;TRUE;g;4061458003889;Langkorn Reis;500;g;N/A;N/A;N/A;TRUE;N/A;10000211;Körner / Getreide – nicht verzehrbereit (ohne Kühlung haltbar)
62;4061458009904;la finesse;Kartoffel-Cremesuppe;398;96;6.9;TRUE;2.4;TRUE;6;TRUE;1.1;TRUE;1.9;TRUE;0.75;TRUE;ml;4061458009904;Kartoffelcremsuppe mit Schweinefleisch;400;ml;[228];N/A;N/A;TRUE;N/A;10000262;Fertigsuppen (ohne Kühlung haltbar)
63;4047247000239;Diadem;Puder Zucker;1700;400;0;TRUE;0;TRUE;100;TRUE;100;TRUE;0;TRUE;0;TRUE;g;4047247000239;Puder Zucker;250;g;[225];N/A;N/A;TRUE;N/A;10000043;Zucker / Zuckerersatzstoffe (ohne Kühlung haltbar)
64;4061458002691;Gut bio;Apfelchips;1511;358;0.7;TRUE;0.3;TRUE;77;TRUE;72;TRUE;1.4;TRUE;0.01;FALSE;g;4061458002691;Bio-Apfelchips;80;g;N/A;[91, 226];N/A;TRUE;N/A;10000206;Obst – bearbeitet / verarbeitet (ohne Kühlung haltbar)
65;4061458049153;Farmer;Kalifornische Pistazien;2546;615;51;TRUE;7;TRUE;11;TRUE;7;TRUE;24;TRUE;1.8;TRUE;g;4061458049153;Pistazien, geröstet und gesalzen;250;g;N/A;N/A;N/A;TRUE;N/A;10000008;Nüsse / Samen – nicht bearbeitet / verarbeitet (ohne Kühlung haltbar)
66;8718114818528;Knorr;Nudel-Schinken Gratin;511;122;4.3;TRUE;1.6;TRUE;14;TRUE;0.8;TRUE;6.4;TRUE;0.66;TRUE;g;8718114818528;Nudel-Schinken Gratin;28;g;[58];N/A;N/A;TRUE;N/A;10006214;Extrakte / Gewürze / Geschmacksverstärker (ohne Kühlung haltbar)
67;8717163935170;Knorr;Geschnetzeltes Züricher Art;319;76;3.8;TRUE;0.6;TRUE;2.4;TRUE;0.7;TRUE;8.1;TRUE;0.5;TRUE;g;8717163935170;Geschnetzeltes Züricher Art;36;g;[58];N/A;N/A;TRUE;N/A;10006214;Extrakte / Gewürze / Geschmacksverstärker (ohne Kühlung haltbar)
68;4061458051569;Le Gusto;Tomaten Suppe;129;30;0.5;FALSE;0.1;FALSE;6.5;TRUE;2.7;TRUE;0.8;TRUE;1.1;TRUE;ml;4061458051569;Suppe Tomaten;70;g;N/A;N/A;N/A;TRUE;N/A;10000262;Fertigsuppen (ohne Kühlung haltbar)
69;4061458051613;Le Gusto;Zwiebelsuppe;81;19;0.5;FALSE;0.1;FALSE;3.4;TRUE;1.5;TRUE;0.6;TRUE;1.1;TRUE;ml;4061458051613;Zwiebelsuppe;50;g;N/A;N/A;N/A;TRUE;N/A;10000262;Fertigsuppen (ohne Kühlung haltbar)
70;4061458051637;Le Gusto;Rindfleischsuppe;97;23;0.5;FALSE;0.1;FALSE;4.2;TRUE;0.5;FALSE;0.9;TRUE;0.9;TRUE;ml;4061458051637;Rindfleschsuppe mit Nudeln;55;g;N/A;N/A;N/A;TRUE;N/A;10000262;Fertigsuppen (ohne Kühlung haltbar)
71;4061458009256;Knusperone;Obst Riegel;1352;320;1.8;TRUE;0.2;TRUE;68;TRUE;51;TRUE;3;TRUE;0.05;TRUE;g;4061458009256;Obst-Riegel auf Apfel-Trauben-Basis-Sorte Erdbeer-Banane;150;g;[225];N/A;N/A;TRUE;N/A;10000287;Müslis / Müsliriegel
72;4014400929379;August Storck KG;Knoppers Kokosriegel;2170;520;30.3;TRUE;19.4;TRUE;54.4;TRUE;41.7;TRUE;6.7;TRUE;0.44;TRUE;g;4014400929379;Waffelriegel mit Milchreme (14,4%), Kokoscreme verfeinert mit Haselnüssen (17%), Kokosraspeln (6,5%) und zartem Karamell (26,1%), umhüllt von Vollmilchschokolade (29,5%);200;g;N/A;N/A;N/A;TRUE;N/A;10000161;Kekse / Gebäck (ohne Kühlung haltbar)
73;4005500310105;Maggi;Maggi Würze;445;105;0;TRUE;0;TRUE;8.2;TRUE;6.3;TRUE;16.8;TRUE;25.5;TRUE;ml;4005500310105;Würze;250;g;N/A;N/A;N/A;TRUE;N/A;10000049;Kräuter / Gewürze (ohne Kühlung haltbar)
74;90433627;Red Bull;The White Edition;191;45;0;TRUE;0;TRUE;11;TRUE;11;TRUE;0;TRUE;0.1;TRUE;ml;90433627;Energy Drink mit dem Geschmacl von Kokos-Blaubeere;250;ml;N/A;N/A;N/A;TRUE;[50];10000266;Energydrinks – trinkfertig
75;4061458016971;Cucina;Tomatenmark;496;117;0.3;TRUE;0.1;FALSE;18.5;TRUE;15.4;TRUE;5.7;TRUE;1;TRUE;g;4061458016971;Tomatenmark;200;g;N/A;N/A;N/A;TRUE;N/A;10000054;Dipsaucen / Würzsaucen / Feinkostsaucen / Aufstriche / Marinaden (leicht verderblich)
76;4061458028370;Delikato;Senf;758;183;14;TRUE;0.9;TRUE;1.7;TRUE;1.7;TRUE;9;TRUE;5.7;TRUE;ml;4061458028370;Senf scharf;200;ml;[39, 57];;N/A;TRUE;N/A;10006322;Senf (ohne Kühlung haltbar)
77;5413548283128;Kinder;Schokobons;2401;576;36.6;TRUE;21.2;TRUE;52.5;TRUE;52.2;TRUE;8.3;TRUE;0.28;TRUE;g;5413548283128;Gefüllte Vollmilchschokoladeneier mit Milchfüllung (42.5%) und fein gehackten Haselnüssen;200;g;[200, 241];N/A;N/A;TRUE;N/A;10000045;Schokolade und Mischungen aus Schokolade und Zuckerwaren – Süßwaren
78;4061458072465;Gut bio;Honig cremig;1283;302;0.1;FALSE;0.1;FALSE;75.1;TRUE;75.1;TRUE;0.4;TRUE;0.02;TRUE;g;4061458072465;Bio-Honig cremig;340;g;N/A;[229];N/A;TRUE;N/A;10000213;Honig (ohne Kühlung haltbar)
79;4061458041027;Grandessa;Schwarzkirsche;777;183;0.5;FALSE;0.1;TRUE;43;TRUE;43;TRUE;0.7;TRUE;0.1;FALSE;g;4061458041027;Schwarzkische Fruchtaufstrich;250;g;N/A;N/A;N/A;TRUE;N/A;10000217;Marmeladen / Gelees / Konfitüren (ohne Kühlung haltbar)
80;40737782;Kühne;Rotwein Essig;110;26;0;TRUE;0;TRUE;1.2;TRUE;0;TRUE;0;TRUE;0;TRUE;ml;40737782;Red wine vinegar;250;ml;N/A;N/A;N/A;TRUE;N/A;10000051;Essig
81;4061458013642;Grandessa;Erdbeere Konfitüre;939;221;0.5;FALSE;0.1;FALSE;53;TRUE;53;TRUE;0.5;FALSE;0.04;TRUE;g;4061458013642;N/A;450;g;N/A;N/A;N/A;TRUE;N/A;10000217;Marmeladen / Gelees / Konfitüren (ohne Kühlung haltbar)
82;4072700803829;Franziskaner Weissbier;Premium Weissbier Naturtrüb;180;43;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;ml;4072700803829;N/A;0.5;l;N/A;N/A;5;TRUE;[50];10000159;Bier
83;4061458218351;bio;Mamia Bio Erdbeere in Apfel-Banane;261;62;0.1;TRUE;0;TRUE;14;TRUE;12;TRUE;0.5;TRUE;0.05;TRUE;g;4061458218351;Früchtezubereitung (bio);190;g;N/A;[14, 231];N/A;TRUE;N/A;10000104;Baby– und Kleinkindernahrungsmittel (ohne Kühlung haltbar)
84;4061458218368;bio;Mamia Bio Birne pur;231;55;0.2;TRUE;0;TRUE;11.6;TRUE;9.4;TRUE;0.4;TRUE;0.05;TRUE;g;4061458218368;Birnenpüree (bio);190;g;N/A;[14, 231];N/A;TRUE;N/A;10000104;Baby– und Kleinkindernahrungsmittel (ohne Kühlung haltbar)
85;4061458005319;Gut bio;Himbeere;997;235;0.5;FALSE;0.1;FALSE;55;TRUE;55;TRUE;0.7;TRUE;0.01;FALSE;g;4061458005319;Bio-Himbeer Konfitüre extra;330;g;N/A;[226];N/A;TRUE;N/A;10000217;Marmeladen / Gelees / Konfitüren (ohne Kühlung haltbar)
86;4002221037960;meßmer;Marokkanische Minze-Honig;3;1;0;TRUE;0;TRUE;0.2;TRUE;0.1;FALSE;0;TRUE;0;TRUE;ml;4002221037960;Krauseminztee-Mischung aromatisiert Honig-Geschmack;40;g;[220];N/A;N/A;TRUE;N/A;10000116;Tee – lose / abgepackt / Aufgussbeutel
87;4061458040747;Diadem;Gelier Zucker;1686;397;0.2;TRUE;0.2;TRUE;97;TRUE;97;TRUE;0;TRUE;0.03;TRUE;g;4061458040747;Gelier Zucker;500;g;[225];N/A;N/A;TRUE;N/A;10000158;Back– / Kochzutaten (ohne Kühlung haltbar)
88;4061458040709;Goldland;Wald Honig;1197;282;0.1;FALSE;0.1;FALSE;70;TRUE;70;TRUE;0.4;TRUE;0.02;TRUE;g;4061458040709;N/A;500;g;[39];N/A;N/A;TRUE;N/A;10000213;Honig (ohne Kühlung haltbar)
89;4061458093545;Schneekoppe;Rote Bete Saft;158;37;0.5;FALSE;0.1;FALSE;8;TRUE;8;TRUE;1;TRUE;0.08;TRUE;ml;4061458093545;Bio Rote Bete Saft;500;ml;[57, 209, 225, 230];[14, 226];N/A;TRUE;N/A;10006252;Gemüsesaft – trinkfertig (ohne Kühlung haltbar)
90;4014400926040;August Storck KG;Merci;2282;548;34.4;TRUE;19.7;TRUE;49.8;TRUE;47.7;TRUE;7.5;TRUE;0.14;TRUE;g;4014400926040;Gefüllte und nicht gefüllte Schokoladen-Spezialitäten;200;g;N/A;N/A;N/A;TRUE;N/A;10000045;Schokolade und Mischungen aus Schokolade und Zuckerwaren – Süßwaren
91;5000159471510;Mars GmbH;m&m’s Peanut;2157;516;26;TRUE;11;TRUE;53;TRUE;53;TRUE;10;TRUE;0.1;TRUE;g;5000159471510;Erdnüsse (24%) in Milchschokolade (48%) mit Zuckerüberzug;220;g;N/A;N/A;N/A;TRUE;N/A;10000045;Schokolade und Mischungen aus Schokolade und Zuckerwaren – Süßwaren
92;7622210349675;Milka;Caramel;2018;482;24;TRUE;13;TRUE;62;TRUE;52;TRUE;4.2;TRUE;0.46;TRUE;g;7622210349675;Alpenmilchschokolade mit Karamellcrèmefüllung;100;g; [232, 239];N/A;N/A;TRUE;N/A;10000045;Schokolade und Mischungen aus Schokolade und Zuckerwaren – Süßwaren
93;4002359011504;Mirácoli;Klassiker Spaghetti;454;107;0.5;TRUE;0.1;TRUE;22;TRUE;2.4;TRUE;3.7;TRUE;0.6;TRUE;g;4002359011504;Spaghetti mit Tomatensauce und Würzmischung;616;g;N/A;N/A;N/A;TRUE;N/A;10006750;Fertiggerichte mit mehreren Bestandteilen – nicht verzehrfertig (ohne Kühlung haltbar)
94;40056265;Nestle;Thomy Les Sauces Hollandaise;893;216;21.6;TRUE;2.4;TRUE;4.3;TRUE;1.9;TRUE;0.9;TRUE;1.3;TRUE;ml;40056265;Sauce Hollondaise;250;ml;[225];N/A;N/A;TRUE;N/A;10000057;Saucen (ohne Kühlung haltbar)
95;4061458004022;Gut bio;Apfelmus;309;73;0.1;TRUE;0.1;FALSE;17;TRUE;16.7;TRUE;0.3;TRUE;0.01;FALSE;ml;4061458004022;Bio-Apfelmus;360;g;[39];[227, 17];N/A;TRUE;N/A;10000206;Obst – bearbeitet / verarbeitet (ohne Kühlung haltbar)
96;4002359006029;Mirácoli;Klassiker Pasta Sauce Tomate;171;40;0.5;FALSE;0.1;FALSE;7.3;TRUE;4.9;TRUE;1.7;TRUE;1.1;TRUE;g;4002359006029;Pasta Sauce Tomate;400.00/378.00;g/ml;N/A;N/A;N/A;TRUE;N/A;10000057;Saucen (ohne Kühlung haltbar)
97;4061458009829;la finesse;Tomaten-Rahmsuppe;223;53;3;TRUE;1.5;TRUE;5.4;TRUE;4.1;TRUE;0.8;TRUE;1;TRUE;ml;4061458009829;feine Tomaten-Rahmsuppe;400;ml;[58];N/A;N/A;TRUE;N/A;10000262;Fertigsuppen (ohne Kühlung haltbar)
98;4061458219808;Ravini;Hard Seltzer Typ Natural Lime;130;30;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;N/A;TRUE;ml;4061458219808;Aromatisierter weinhaltiger Cocktail;250;ml;N/A;N/A;5;TRUE;N/A;10000144;Alkoholische Mixgetränke
