Nr.;GTIN;brandName;productName;Energy  [kJ];Energy [kcal];Fat;Fat_isEqual;OfWhichSaturated;OfWhichSaturated_isEqual;Carbohydrate;Carbohydrate_isEqual;OfWhichSugar;OfWhichSugar_isEqual;Protein;Protein_isEqual;Salt;Salt_isEqual;oneHundred_referenceUnit;barcode;detailedProductName;netContent;netContentUnit;packagingMarkedLabelAccreditation;organicClaim;percentageOfAlcoholByVolume;percentageOfAlcoholByVolume_isEqual;packagingRecyclingProcessType;brick_code;brick decription
208;8423243014733;Nahon;Raffiniertes Rapsöl;3389;824;91.6;TRUE;5.5;TRUE;0;TRUE;0;TRUE;0;TRUE;0;TRUE;ml;8423243014733;Raffiniertes Rapsöl;1;l;N/A;N/A;N/A;TRUE;N/A;10000040;Speiseöle – pflanzlich (ohne Kühlung haltbar)
209;4000251004792;Paulus;Genussmanufaktur;257;61;0.6;TRUE;0.1;FALSE;13;TRUE;6.5;TRUE;0.9;TRUE;0.01;FALSE;g;4000251004792;Berrenobstteller;300;g;N/A;N/A;N/A;TRUE;N/A;10000002;Obst – nicht bearbeitet / verarbeitet (tiefgefroren)
210;4337256164412;Rewe Beste Wahl;Himbeer Heidelbeer-Mix;211;50;0.7;TRUE;0.1;TRUE;8.4;TRUE;8.4;TRUE;1;TRUE;0.02;TRUE;g;4337256164412;Himbeer-Heidelbeer-Mix mit Kultur-Heidelbeeren. Tiefgefroren;300;g;[230];N/A;N/A;TRUE;N/A;10000002;Obst – nicht bearbeitet / verarbeitet (tiefgefroren)
211;4337256180832;Rewe Beste Wahl;Himbeeren Ganze Früchte;207;49;0.8;TRUE;0.1;FALSE;7.3;TRUE;6;TRUE;1.1;TRUE;0.03;TRUE;g;4337256180832;Himbeeren, tiefgefroren;500;g;[230];N/A;N/A;TRUE;N/A;10000002;Obst – nicht bearbeitet / verarbeitet (tiefgefroren)
212;4388844134508;Rewe Bio;Heidelbeeren;210;50;0.5;TRUE;0.2;TRUE;8.3;TRUE;7.4;TRUE;0.6;TRUE;0;TRUE;g;4388844134508;Bio Heidelbeeren, tiefgefroren;300;g;[226];[14, 125, 256];N/A;TRUE;N/A;10000002;Obst – nicht bearbeitet / verarbeitet (tiefgefroren)
213;4000251004815;Paulus;Heidelbeeren;238;56;0.4;TRUE;0.1;FALSE;12.5;TRUE;9.2;TRUE;0.5;TRUE;0.01;FALSE;g;4000251004815;Heidelbeeren einzeln gefrostet;300;g;N/A;N/A;N/A;TRUE;N/A;10000002;Obst – nicht bearbeitet / verarbeitet (tiefgefroren)
214;4388860258318;Ja!;Beeren Mischung;159;38;0.4;TRUE;0;TRUE;5.8;TRUE;5.5;TRUE;1.1;TRUE;0.03;TRUE;g;4388860258318;Beerenmischung,tiefgefroren;750;g;N/A;N/A;N/A;TRUE;N/A;10000002;Obst – nicht bearbeitet / verarbeitet (tiefgefroren)
215;4337256200103;Rewe Bio;Himbeeren;165;40;0.4;TRUE;0;TRUE;4.8;TRUE;4.7;TRUE;1.3;TRUE;0.01;FALSE;g;4337256200103;Bio Himbeeren, tiefgefroren ;300;g;[230, 226];[14];N/A;TRUE;N/A;10000002;Obst – nicht bearbeitet / verarbeitet (tiefgefroren)
216;4337256156073;Rewe Beste Wahl;Mango;254;60;0.1;TRUE;0.1;TRUE;14.2;TRUE;11.3;TRUE;0.5;TRUE;0;TRUE;g;4337256156073;Mango gewürfelt, tiefgefroren;500;g;[230];N/A;N/A;TRUE;N/A;10000002;Obst – nicht bearbeitet / verarbeitet (tiefgefroren)
217;4337256173841;Rewe Beste Wahl;Erdbeeren;207;49;0.8;TRUE;0.1;FALSE;7.3;TRUE;6;TRUE;1.1;TRUE;0.03;TRUE;g;4337256173841;Himbeeren, tiefgefroren ;500;g;[230];N/A;N/A;TRUE;N/A;10000002;Obst – nicht bearbeitet / verarbeitet (tiefgefroren)
218;4250241204743;Iglo;Erbsen & Karotten;210;50;0.6;TRUE;0.1;TRUE;6.2;TRUE;4.8;TRUE;2.8;TRUE;0.07;TRUE;g;4250241204743;Erbsen & Karotten;540;g;[230, 137, 57];N/A;N/A;TRUE;N/A;10000005;Gemüse – nicht bearbeitet / verarbeitet (tiefgefroren)
219;4250241202145;Iglo;Rahm-Gemüse Wirsing;252;60;3;TRUE;7;TRUE;5.6;TRUE;2.6;TRUE;2;TRUE;0.81;TRUE;g;4250241202145;Rahm-Wirsing, tiefgefroren;500;g;[230, 137, 58];N/A;N/A;TRUE;N/A;10000005;Gemüse – nicht bearbeitet / verarbeitet (tiefgefroren)
220;8718963393665;"Natures Pride""";Essreife Mangos;278;66;0.2;TRUE;0;TRUE;14.3;TRUE;N/A;TRUE;0.6;TRUE;0.01;FALSE;g;8718963393665;Essreife Mangos;N/A;N/A;[225];N/A;N/A;TRUE;N/A;10005969;Mangos
221;4100970018794;Larsen;Echtlachs Creme;1950;470;44;TRUE;	4;TRUE;11;TRUE;4.7;TRUE;6.5;TRUE;3.8;TRUE;g;4100970018794;Echtlachs Crème;100;g;N/A;N/A;N/A;TRUE;N/A;10000016;Fisch – bearbeitet / verarbeitet (leicht verderblich)
222;4002239260909;Feinkost Dittmann;Deutscher Caviar;371;88;4;TRUE;0.9;TRUE;1.3;TRUE;0;TRUE;11.8;TRUE;4.99;TRUE;g;4002239260909;Deutscher Caviar aus Seehasenrogen, gefärbt;50;g;N/A;N/A;N/A;TRUE;N/A;10000016;Fisch – bearbeitet / verarbeitet (leicht verderblich)
223;3276170012663;Coraya;Surimi Sticks;468;112;4.2;TRUE;0.3;TRUE;10;TRUE;2.3;TRUE;8.2;TRUE;1.5;TRUE;g;3276170012663;Surimi, Fischzubereitung aus Fischmuskeleiweiss;200;g;[225, 121, 230];N/A;N/A;TRUE;N/A;10000016;Fisch – bearbeitet / verarbeitet (leicht verderblich)
224;4030800071050;Nordsee;Zarte Heringsfilets;903;216;13;TRUE;2.4;TRUE;11;TRUE;11;TRUE;14;TRUE;3.2;TRUE;g;4030800071050;Zarte Heringsfilets, mariniert mit Zwiebeln, Mit Rote Beete Note;170;g;N/A;N/A;N/A;TRUE;N/A;10000016;Fisch – bearbeitet / verarbeitet (leicht verderblich)
225;4337256082600;Ja!;Sardinen;889;213;13;TRUE;2.8;TRUE;0;TRUE;0;TRUE;24;TRUE;0.6;TRUE;g;4337256082600;Sardinen ohne Haut und ohne Gräten in Sonnenblumenöl;125;g;[230];N/A;N/A;TRUE;N/A;10000018;Fisch - bearbeitet / verarbeitet (ohne Kühlung haltbar)
226;4013200885106;Lien Ying;Noriblätter;1349;322;5;TRUE;0.4;TRUE;3.4;TRUE;0.8;TRUE;53;TRUE;0.4;TRUE;g;4013200885106;Gerösteter Seetang (Porphyra tenera) in Aquakulturen gewonnen im Fanggebiet Nordwestpazifik für die Zubereitung von Sushi;18;g;N/A;N/A;N/A;TRUE;N/A;10000153;Wasserpflanzen / Algen - bearbeitet / verarbeitet (ohne Kühlung haltbar)
